Uid	Name	Type	Category	SubCategory	PartsID	Class	ImagePath	Upgrade	MaxOverlayCount	CoolTime	SaleCurrencyType	SaleCurrencyValue	AntiFlag	Description	StatusID1	StatusSuffix1	StatusValue1	StatusID2	StatusSuffix2	StatusValue2	OptionType1	OptionSuffix1	OptionValue1	OptionType2	OptionSuffix2	OptionValue2	OptionType3	OptionSuffix3	OptionValue3	OptionType4	OptionSuffix4	OptionValue4	OptionType5	OptionSuffix5	OptionValue5
102011002	상의 2	Equip	Armor	Chest	Chest	Normal	Top2	0	1	0	Gold	130	None	방어력이 조금 높은 상의 입니다.	STAT_DEF	PLUS	15	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
# 다리																																			
102021001	다리 1	Equip	Armor	Boots	Boots	Normal	Leg1	0	1	0	Silver	140	Stash,Shop	기본 신발입니다.	STAT_DEF	PLUS	1	STAT_MOVE_SPEED	PLUS	10	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
102021002	다리 2	Equip	Armor	Boots	Boots	Normal	Leg2	0	1	0	Silver	150	None	이동속도가 조금 빠른 신발입니다.	STAT_DEF	PLUS	15	STAT_MOVE_SPEED	PLUS	20	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
# 물약																																			
201011001	작은 HP포션	Consumable	Potion	RecoverHp	None	Normal	HpPotion1	0	999	1	Gold	160	None	생명력을 {StatusValue1} 만큼 회복합니다.	NONE	NONE	100	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
201011002	큰 HP포션	Consumable	Potion	RecoverHp	None	Normal	HpPotion2	0	999	1	Gold	170	None	생명력을 {StatusValue1} 만큼 회복합니다.	NONE	NONE	50	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
201021001	작은 MP포션	Consumable	Potion	RecoverMp	None	Normal	MpPotion1	0	999	1	Gold	180	None	마력을 {StatusValue1} 만큼 회복합니다.	NONE	NONE	100	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
201021002	큰 MP포션	Consumable	Potion	RecoverMp	None	Normal	MpPotion2	0	999	1	Gold	190	None	마력을 {StatusValue1} 만큼 회복합니다.	NONE	NONE	50	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
201031001	공격속도 증가	Consumable	Potion	IncreaseAttackSpeed	None	Normal	AttackSpeedPotion1	0	999	3	Gold	200	None	None	AFFECT_UID	NONE	110002	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
201041002	이동속도 증가	Consumable	Potion	IncreaseMoveSpeed	None	Normal	MoveSpeedPotion1	0	999	3	Gold	210	None	None	AFFECT_UID	NONE	110001	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
# 재료																																			
401011001	아란둘라	Misc	Material	None	None	Normal	Arandula	0	999	0	Gold	10	Salvage	아이템 제작에 사용됩니다.	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
401011002	케킥	Misc	Material	None	None	Normal	Kekik	0	999	0	Gold	10	Salvage	아이템 제작에 사용됩니다.	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
401011003	코쿠다	Misc	Material	None	None	Normal	Kokuda	0	999	0	Gold	10	Salvage	아이템 제작에 사용됩니다.	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
401011004	만다고라	Misc	Material	None	None	Normal	Mandragora	0	999	0	Gold	10	Salvage	아이템 제작에 사용됩니다.	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
401011005	클라리아	Misc	Material	None	None	Normal	Sclaria	0	999	0	Gold	10	Salvage	아이템 제작에 사용됩니다.	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
401011006	조그만 돌	Misc	Material	None	None	Normal	Rock1	0	999	0	Gold	10	Salvage	아이템 강화에 사용됩니다.	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
401011007	돌	Misc	Material	None	None	Normal	Rock2	0	999	0	Gold	10	Salvage	아이템 강화에 사용됩니다.	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
401011008	거대한 돌	Misc	Material	None	None	Normal	Rock3	0	999	0	Gold	10	Salvage	아이템 강화에 사용됩니다.	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
401011009	골드 바1	Misc	Material	None	None	Normal	GoldBar1	0	999	0	Gold	10	Salvage	아이템 강화에 사용됩니다.	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
401011010	골드 바2	Misc	Material	None	None	Normal	GoldBar2	0	999	0	Gold	10	Salvage	아이템 강화에 사용됩니다.	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
401011011	골드 바3	Misc	Material	None	None	Normal	GoldBar3	0	999	0	Gold	10	Salvage	아이템 강화에 사용됩니다.	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
401011012	실버 바1	Misc	Material	None	None	Normal	SilverBar1	0	999	0	Gold	10	Salvage	아이템 강화에 사용됩니다.	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
401011013	실버 바2	Misc	Material	None	None	Normal	SilverBar2	0	999	0	Gold	10	Salvage	아이템 강화에 사용됩니다.	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
401011014	실버 바3	Misc	Material	None	None	Normal	SilverBar3	0	999	0	Gold	10	Salvage	아이템 강화에 사용됩니다.	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
401011015	브론즈 바1	Misc	Material	None	None	Normal	BronzeBar1	0	999	0	Gold	10	Salvage	아이템 강화에 사용됩니다.	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
401011016	브론즈 바2	Misc	Material	None	None	Normal	BronzeBar2	0	999	0	Gold	10	Salvage	아이템 강화에 사용됩니다.	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
401011017	브론즈 바3	Misc	Material	None	None	Normal	BronzeBar3	0	999	0	Gold	10	Salvage	아이템 강화에 사용됩니다.	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
